Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,,,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Não,"Rodas de conversa, Palestras à tarde","Segunda-feira, Quarta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Alta,Muito alta,Não se aplica,Não se aplica,Bom,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,"Não ter ninguém com quem deixar os filhos, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Sim,Palestras à tarde,Quarta-feira,,,Alta,,,,,Excelente,,,Muito alta,Muito baixa,sem impedimentos.,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Keynotes","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Alta,Muito alta,Não se aplica,Não se aplica,Bom,Excelente,Excelente,Não se aplica,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Alta,Alta,Horários das atividades incompatíveis com agenda,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Média,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Keynotes","Segunda-feira, Terça-feira, Domingo",Média,Média,,Média,,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,Palestras à tarde,Segunda-feira,Muito alta,,Muito alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Acessibilidade do evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite","Terça-feira, Quinta-feira",Média,Baixa,Média,Baixa,Não se aplica,Não se aplica,Bom,Bom,Excelente,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Acessibilidade do evento"
Sim,Palestras à noite,"Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Acessibilidade do evento"
Sim,Palestras à noite,Sexta-feira,Alta,Média,Alta,Média,Média,Média,Bom,Bom,Bom,Bom,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do ingresso"
Sim,Palestras à noite,"Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Não ter ninguém com quem deixar os filhos
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Média,Média,Média,Alta,Média,Bom,Indiferente,Bom,Bom,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Baixa,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Indiferente,Indiferente,Não se aplica,Não se aplica,Muito baixa,Média,Não tenho interesse em eventos on-line,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,Rodas de conversa,"Segunda-feira, Terça-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Muito alta,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quinta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Alta,Muito alta,,Muito alta,Bom,Bom,,,Muito alta,Muito alta,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Quarta-feira",Média,,Média,,,,Bom,Indiferente,,,Alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Bom,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Muito alta,Alta,,,,Bom,Bom,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quinta-feira",Muito alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira",Muito alta,Alta,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito alta,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,"Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Sim,,,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Péssimo,Péssimo,Péssimo,Péssimo,Muito baixa,Muito baixa,Desorganização de vocês,Desorganização de vocês
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa
Sim,Tutoriais,Domingo,Alta,,Alta,,Alta,,Bom,Bom,Excelente,Bom,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Acessibilidade do evento"
Sim,Palestras à tarde,Segunda-feira,Muito alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Custo da estadia
Sim,Palestras à tarde,"Segunda-feira, Sexta-feira",Baixa,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Dificuldade em liberação pela empresa"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Não se aplica,Bom,Indiferente,Bom,Indiferente,Muito alta,Baixa,Conectividade,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Muito baixa,Não se aplica,Excelente,Excelente,Bom,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,Custo do transporte
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Quarta-feira, Quinta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,
Sim,Palestras à tarde,"Terça-feira, Quarta-feira",Muito alta,,Alta,,,,,Excelente,,,Alta,Muito alta,,
Sim,Palestras à tarde,Sábado,Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa"
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Bom,Bom,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa, largar o mozão sábado e domingo se ele estiver de folga é osso"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Sexta-feira, Sábado, Domingo",Alta,,Muito alta,Muito alta,,,Excelente,Excelente,,,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Média,,Dificuldade em liberação pela empresa
Sim,Palestras à tarde,"Segunda-feira, Terça-feira",Média,Não se aplica,Média,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Alta,Média,"Horários das atividades incompatíveis com agenda, Conectividade",Insegurança relacionada a pandemia COVID-19
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia"
Sim,"Palestras à noite, Keynotes","Quarta-feira, Sexta-feira, Sábado",Alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Muito alta,Média,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo do ingresso, Dificuldade em liberação pela empresa"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Bom,Muito alta,Média,Nenhum,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Distância"
Não,"Palestras à tarde, Palestras à noite","Quinta-feira, Sexta-feira, Sábado",Alta,Média,Muito alta,Muito alta,Muito alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,"Como nos encontros presenciais, que as datas fossem centradas em poucos dias e não na semana inteira, acontecendo mais eventos simultaneamente. A semana inteira é mais difícil de acompanhar por causa de obrigações profissionais. Algo de quinta a domingo já é mais fácil de se programar.","Insegurança relacionada a pandemia COVID-19, Custo do transporte"
Sim,"Rodas de conversa, Palestras à tarde","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Alta,Muito alta,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Muito alta,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Bom,Bom,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Sim,,,,,,,,,,,,,,,Horários das atividades incompatíveis com agenda,"Acessibilidade do evento, Horários do evento, uma vez que eu trabalho."
Sim,Palestras à tarde,"Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,,Muito alta,,,,Bom,Excelente,,,Alta,Alta,,Dificuldade em liberação pela empresa
Sim,Palestras à noite,"Segunda-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Muito baixa,Ferramentas utilizadas no evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Sim,Palestras à tarde,"Segunda-feira, Terça-feira",Muito alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Não,"Palestras à tarde, Keynotes","Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Média,Alta,Média,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,"Horários das atividades incompatíveis com agenda, Acessibilidade do evento","Insegurança relacionada a pandemia COVID-19, Acessibilidade do evento"
Sim,"Palestras à tarde, Palestras à noite","Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19
Não,Palestras à tarde,"Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Média,Não se aplica,Média,Não se aplica,Não se aplica,Não se aplica,Ruim,Bom,Não se aplica,Não se aplica,Muito baixa,Média,evento online de longa duração é entediante,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Baixa,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Compromisso de tempo"
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Prefiro evento online porque posso interagir menos com as pessoas e aproveitar mais o conteúdo,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa, Acessibilidade do evento, Tudo de ruim, deslocamento, aglomeração, pessoas falando o tempo todo, custo"
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira",Muito alta,,Alta,,,,Excelente,Excelente,,,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia"
Sim,"Palestras à tarde, Tutoriais","Sexta-feira, Sábado",Alta,Alta,Alta,Alta,Muito alta,Muito alta,Excelente,Bom,Bom,Excelente,Alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,Tutoriais,"Sábado, Domingo",Não se aplica,Não se aplica,Não se aplica,Não se aplica,Alta,Não se aplica,Excelente,Bom,Excelente,Bom,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,Não tenho interesse em eventos presenciais.
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do ingresso, Acessibilidade do evento"
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,,Insegurança relacionada a pandemia COVID-19
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Média,Baixa,Alta,Baixa,,,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Chance alta,Disponibilidade de tempo para participar de todas as palestras que me interessarem
Sim,"Palestras à noite, Sprints","Segunda-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Alta,Alta,Média,Alta,Bom,Bom,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa"
Não,"Palestras à tarde, Keynotes, Sprints","Quarta-feira, Sexta-feira, Sábado",Muito alta,,Alta,Alta,,Média,Bom,Bom,,,Muito alta,Alta,,Insegurança relacionada a pandemia COVID-19
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Muito alta,,Muito alta,,,,Excelente,Bom,,,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos"
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira",Muito alta,,Muito alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Alta,Alta,Muito alta,Muito alta,Excelente,Bom,Excelente,Bom,,Alta,,Dificuldade em liberação pela empresa
Sim,"Palestras à tarde, Palestras à noite, Tutoriais, Sprints","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira",Muito alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso"
Sim,"Palestras à tarde, Keynotes",Quinta-feira,Muito alta,Não se aplica,Muito alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Não ter ninguém com quem deixar os filhos"
Não,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Média,Muito alta,Não se aplica,Não se aplica,Não se aplica,Bom,Excelente,Não se aplica,Não se aplica,Alta,Muito alta,,"Custo do transporte, Custo da estadia"
