Essa foi sua primeira Python Brasil?,Quais atividades você participou?,Quais dias você participou?,Avalie a sua satisfação em geral com... [Python Brasil 2020],Avalie a sua satisfação em geral com... [Rodas de conversa],Avalie a sua satisfação em geral com... [Palestras],Avalie a sua satisfação em geral com... [Keynotes],Avalie a sua satisfação em geral com... [Tutoriais],Avalie a sua satisfação em geral com... [Sprints],O que você achou dos... [Temas das palestras?],O que você achou dos... [Níveis das palestras?],O que você achou dos... [Temas dos tutoriais?],O que você achou dos... [Níveis dos tutoriais?],Qual a chance de você participar da Python Brasil 2021? [Se for online],Qual a chance de você participar da Python Brasil 2021? [Se for presencial],"Se a Python Brasil 2021 for online, qual seria o maior impeditivo para você participar do evento?","Se a Python Brasil 2021 for presencial, qual seria o maior impeditivo para você participar do evento?","Se escolheu alguma das opções acima, detalhe os motivos abaixo.",Como podemos melhorar na próxima edição da Python Brasil?,Você têm algum outro comentário sobre a Python Brasil 2020?
Sim,"Rodas de conversa, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Muito baixa,Péssimo,Péssimo,Péssimo,Péssimo,Muito baixa,Muito baixa,Achei péssimo o enfoque do evento,Custo do ingresso,,"Parar com esse negócio chatérrimo de Inclusão e diversidade, isso está tãoooooooooooooo chato, é um porre.... Não existe mulheres que codam, existe o Code, existe o Python, existe programação ! Olha, tava tão Boring a questão de só falar de inclusão de minas no code, inclusão de trans, inclusão de cachorro, periquito e papagaio, que o tema central do evento que era o Python ficou em segundo plano !!! ",
Sim,Palestras à noite,"Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Baixa,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",Normalmente eventos online exigem gastos que não caberiam no meu orçamento e me impediriam de participar do evento.,Os tutoriais foram poucas vagas. Quando entre as 10:00 am já tinham esgotado 70% dos tutoriais. Fiquei bem triste com isso :(,"Gente, de forma geral eu AMEI o evento. Muito obrigada pela dedicação. top demais!! Espero estar presente no próximo ano! "
Sim,"Rodas de conversa, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quinta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Domingo",Muito alta,Não se aplica,Muito alta,Não se aplica,Muito alta,Não se aplica,Bom,Bom,Bom,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Não,"Palestras à tarde, Keynotes, Tutoriais","Segunda-feira, Quinta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Bom,Excelente,Bom,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","Distancia, Custo no todo, empresa liberar nos dia do evento",sem ideias de sugestão,não
Sim,Tutoriais,Domingo,Alta,,,,Alta,,,,Bom,,Alta,Muito baixa,Horários das atividades incompatíveis com agenda,,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Sexta-feira",Média,Alta,Muito alta,Alta,Baixa,Baixa,Excelente,Excelente,Excelente,Bom,Muito alta,Alta,"Acessibilidade do evento, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa","Dificuldade em liberação pela empresa, e complicado tenho que marca com um ano de antecedência minhas férias e torce para que ninguém do meu setor ter marcado no mesmo periodo","Na questão de workshop se mais splicito, este ano não participei por que quando fui realizar o cadastro nas atividades não tinha nenhuma mensagem informando que eu não poderia fazer mais que uma e por isso meu cadastro foi cancelado 😞",Nada somente isso
Sim,"Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Alta,Muito alta,Alta,Média,Excelente,Excelente,Excelente,Bom,Muito alta,Baixa,Ferramentas utilizadas no evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira",Alta,Média,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,"1) Manter os assuntos sempre diversos
2) dispor com facilidade o material anterior a palestra para que possamos acompanhar
3) dispor de um git com códigos e dados das palestras, também antes do evento
3) parabéns pelo evento, as poucas palestras que assisti  foram excelentes
",
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Média,Muito alta,Não se aplica,Não se aplica,Indiferente,Bom,Ruim,Não se aplica,Muito alta,Baixa,,Custo do transporte,,Não colocar palestras e tutoriais de temas semelhantes no mesmo horário. Tutoriais mais arroz com feijão das ferramentas básicas para desenvolvedores.,
Não,Palestras à noite,"Terça-feira, Quarta-feira, Quinta-feira",Muito alta,Não se aplica,Média,Alta,Não se aplica,Não se aplica,Bom,Bom,Bom,Não se aplica,Média,Alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Não,"Rodas de conversa, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Muito alta,Alta,Alta,,,Bom,Bom,,,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Palestras à tarde, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso","Moro na Paraíba e é muito difícil ver eventos do porte da PyBR no meu estado. Tenho mais facilidade de me deslocar até a capital ou algum estado vizinho, como Pernambuco ou Rio Grande do Norte, do que para outros estados, pois não tenho muitas condições de arcar com transporte e estadia nesses locais.","Seria interessante ter interprete de Libras para todas as palestras do evento online, para que pessoas surdas possam também usufruir de toda a programação incrível do evento. ",Foi a minha primeira Python BR  e só consegui participar pelo fato de ter sido remota! O evento me inspirou muito e me deixou ainda mais apaixonada pela comunidade Python brasileira e já estou pensando em palestras para submeter em uma próxima eventual versão online do evento!
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Quarta-feira, Sábado",Muito alta,Não se aplica,Muito alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa",,,
Sim,Palestras à noite,"Sábado, Domingo",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa, Acessibilidade do evento",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Muito alta,Não se aplica,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo do ingresso",Eu moro em Sp e dependendo do lugar que irar ser a Python Brasil fica dificil para eu ir devido ao transporte. O preço gasto com transporte somado com o ingresso ficaria muito caro para mim.,,"Parabéns para a equipe, a organização estava muito boa e as palestras foram magnificas, obrigado por realizarem a Python Brasil 2020"
Sim,Palestras à noite,Quinta-feira,Alta,,,,,,,,,Excelente,Alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo do ingresso, Acessibilidade do evento",,Fazer ela em são paulo.,As lives podem agora ser separado em pequenos videos por temas para ficar mais facil encontrar a informação e até o contato do profissional palestrante.
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Quinta-feira",Alta,Média,Alta,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Bom,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa","A principal é a dificuldade de liberação pela empresa, Python não é a principal linguagem de desenvolvimento na empresa e conseguir mais do que um dia útil de liberação é bem complicado.",,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Alta,Alta,Alta,Muito alta,Média,,Excelente,Bom,Bom,Bom,Muito alta,Baixa,"Não houve impeditivo dessa vez e acredito que da próxima, caso haja PyBr online, também espero que não exista.","Custo do transporte, Custo da estadia","Sou estudante de pós-graduação e minha renda é bolsa de pesquisa. Caso a PyBr seja no meu estado, consigo arrumar uma forma de participar, porém, sendo em outro estado eu terei dificuldades financeiras para ir.",,Só parabenizar a todos pelo belíssimo evento e agradecer por mais uma vez ter sido tão bem acolhido pela comunidade.
Sim,Palestras à tarde,"Segunda-feira, Terça-feira, Quarta-feira",Alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,Média,"Horários das atividades incompatíveis com agenda, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa","Os custo no geral, pois com a pandemia tudo está mais caro.","Minha maior dificuldade foi utilizar o Discord, então seria interessante disponibilizar um vídeo introdutório da ferramenta ou outra solução que pudesse ajudar aos novatos com essa tecnologia. ><","Agradecer pelo esforço e dedicação desempenhados pela equipe, pois possibilitou para muitos , assim como eu, tivessem a oportunidade de participar pela primeira vez da Python Brasil 2020."
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","De acordo com a cidade escolhida, dificilmente poderei comparecer presencialmente ao evento, tendo em vista os custos relacionados à participação (hospedagem, passagens aéreas, etc.), além da dificuldade relacionada à agenda do emprego (liberação para participação no evento).",,
Não,"Rodas de conversa, Palestras à tarde, Keynotes, Sprints","Segunda-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Média,Muito alta,Não se aplica,Muito alta,Excelente,Indiferente,Bom,Excelente,Muito alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte",,,SÓ AMOR. FANTÁSTICA! OBRIGADA POR TUDO!
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Bom,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,,,Uma ideia que acho que se fosse interessante se entre as palestras tivesse uma maratona algo nesse tipo. mas seria interessante como aumentar a interatividade entre os participantes,"Achei ótimo o evento, com palestras muito interessantes."
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Muito baixa,,Insegurança relacionada a pandemia COVID-19,Meus pais são do grupo de risco.,Disponibilizando mais ingressos para os tutoriais.,
Sim,"Palestras à noite, Sprints",Sábado,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Alta,Muito baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Acessibilidade do evento",,"Não achei as instruções claras. Por exemplo, eu nunca tinha participado e caí de para-quedas na programação. Lá não tinha explicação nenhuma sobre inscrições, vagas... Eu queria assistir um sprint e, da forma que as inforamções estavam colocadas, achei que seria via youtube. Mas em cima da hora descobri que tinha que ter feito inscrição e que os sprints teriam vagas e tinha toda uma conversa no discord. Pra um leigo e com pouco tempo disponível, achei muito complicado e ter que ficando procurando informações. Acho que as informações deveriam estar mais acessíveis e, principalmente, redundantes no site. Na página de programão, por exemplo, não tinha mais informações sobre as palestras/sprints, vagas...",Parabéns pelo evento. Tocar um evento não é fácil e online devem ter muitos haters. A programão foi incrível.
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Alta,Muito alta,Alta,Muito alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso",,,
Não,"Palestras à tarde, Keynotes","Segunda-feira, Terça-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,,,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte","A pandemia é uma realidade e acredito ainda é um temor. O custo do transporte também é um impeditivo quando é tão longe de onde moro, Minas Gerais.","Não vi tudo que gostaria, mas a qualidade dos temas, o tempo disponibilizado para eles. A palestra da Naomi, de uma profundidade.... se não fosse ter que escolher entre atividades profissionais e o evento, teria sido perfeito.",Continuem... vocês o fizeram muito bem.
Sim,"Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Não se aplica,Bom,Bom,Bom,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,"Acredito que podem pensar em uma campanha mais forte para as pessoas serem voluntárias, pois percebi que os voluntários estavam muito tarefados.",Parabéns pelo empenho de cada um nos bastidores da organização da Py Br
Sim,"Rodas de conversa, Palestras à tarde","Quarta-feira, Sexta-feira",Alta,Média,Alta,Média,Baixa,Média,Bom,Bom,Bom,Indiferente,Alta,Média,"Horários das atividades incompatíveis com agenda, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,"Palestras à noite, Tutoriais","Segunda-feira, Quarta-feira, Quinta-feira, Sábado",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,Meu trabalho é em horário comercial,,
Sim,Palestras à noite,Quinta-feira,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade","Custo do transporte, Custo da estadia","Morando no Nordeste, uma Python Brasil no Sul é caríssimo de chegar, inviável de ir de ônibus e com preços de estadia bem maior do que os preços por aqui.",Mantenham a ideia de hosts escolhidos. Amei poder ser host de alguém que eu sou amiga e tem alguém que me dá segurança como host. Ajudou muito a manter a tranquilidade e o clima bom.,"Se eu pudesse dar um xero no olho de cada um da organização, eu dava. A pybr2020 foi o melhor evento e eu já tô doida para ver o presencial. Vocês arrasaram demais <3 ps.: Ana Dulce melhor big kahuna "
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Tutoriais","Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,Alta,Alta,Não se aplica,Muito alta,Não se aplica,Bom,Bom,Bom,Excelente,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quinta-feira, Sexta-feira, Sábado",Muito alta,,Muito alta,,,,Excelente,Excelente,,,Muito alta,Baixa,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Dificuldade em liberação pela empresa","Preocupação com saúde de todos envolvidos, sou estudante e trabalho, portanto fica difícil liberação. On-line posso assistir palestras gravadas e ou que estejam ocorrendo em horário compatível.  ",Se possível separa os vídeos de cada palestra/apresentação com o titulo da mesma,somente parabenizar todos responsáveis e participantes que contribuirão para evolução da comunidade.
Sim,"Rodas de conversa, Palestras à tarde","Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia",,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Quinta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Não se aplica,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Dificuldade em liberação pela empresa","Uma viagem de avião com hospedagem é um custo que pesa um pouco no meu orçamento, pois estou migrando pra área de dados. Mas o maior impeditivo é que só consigo tirar férias em períodos específicos (janeiro, julho e dezembro), e a empresa que trabalho não me liberaria fora deste período.","Acho bem difícil melhorar algo que já é perfeito. Vocês são perfeitos, excelentes na organização e comando do evento. Super comunidade essa <3","Muito obrigado por tudo, organização! Fez 2020 um pouco melhor! :*"
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Bom,Excelente,Bom,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade",Insegurança relacionada a pandemia COVID-19,Não sabemos como o Brasil estará diante da pandemia.,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Média,Alta,Alta,Muito alta,Bom,Bom,Bom,Bom,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Não,"Palestras à noite, Keynotes, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,,Fantástico
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Muito alta,Alta,Muito alta,Muito alta,Muito alta,Muito alta,Excelente,Excelente,Excelente,Excelente,Muito alta,,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,,,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Baixa,"Horários das atividades incompatíveis com agenda, Não ter ninguém com quem deixar os filhos, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Não ter ninguém com quem deixar os filhos, Dificuldade em liberação pela empresa",,,
Sim,"Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Sexta-feira, Sábado",Muito alta,Não se aplica,Alta,Alta,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,Insegurança relacionada a pandemia COVID-19,,,
Não,"Rodas de conversa, Palestras à tarde","Segunda-feira, Quarta-feira, Sexta-feira",Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Excelente,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo da estadia, Não ter ninguém com quem deixar os filhos",Só com vacina contra covid-19.,Incluir certificados gratuitos online para incentivar novos na comunidade.,Sempre superou as minhas expectativas. Mandou bem PyBR!!
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Alta,Alta,Muito alta,Não se aplica,Não se aplica,Bom,Excelente,Não se aplica,Não se aplica,Muito alta,Muito alta,"Não ter ninguém com quem deixar os filhos, Conectividade","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Não ter ninguém com quem deixar os filhos",,,"O trabalho de vocês foi muito bom, muitos temas inspiradores, ideias e discussões férteis. Não apenas tecnicamente, mas relacionados a cidadania e sociedade. "
Sim,Palestras à tarde,Quarta-feira,,,Alta,,,,,Excelente,,,Muito alta,Muito baixa,sem impedimentos.,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso","O custo de ir presencialmente em algum evento vai aumentar exponencialmente, mas pra que precisa ser presencial? ",Fazendo isso 365 dias ao ano.,Parabéns.
Sim,"Palestras à tarde, Keynotes","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Alta,Muito alta,Não se aplica,Não se aplica,Bom,Excelente,Excelente,Não se aplica,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso","Não pretendo participar de nenhum tipo de evento presencial tão cedo (enquanto não for realmente seguro). E sendo seguro, os custos totais as vezes ficam altos demais.","Não saberia dizer, foi muito bom o evento, parabéns.","Excelente evento, gostei muito mesmo."
Sim,"Palestras à tarde, Palestras à noite","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Alta,Alta,Horários das atividades incompatíveis com agenda,,,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Muito alta,Média,Muito alta,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Média,,"Insegurança relacionada a pandemia COVID-19, Dificuldade em liberação pela empresa",,,
Sim,"Rodas de conversa, Keynotes","Segunda-feira, Terça-feira, Domingo",Média,Média,,Média,,,Não se aplica,Não se aplica,Não se aplica,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Custo da estadia, Custo do ingresso",,,
Sim,Palestras à tarde,Segunda-feira,Muito alta,,Muito alta,,,,Excelente,Excelente,Excelente,Excelente,Muito alta,Baixa,Acessibilidade do evento,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Custo do ingresso, Dificuldade em liberação pela empresa",o CUSTO porque a renda baixou e o preços aumentaram.,Achei excelente. Continuem...,Obg pela oportunidade!!!
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite","Terça-feira, Quinta-feira",Média,Baixa,Média,Baixa,Não se aplica,Não se aplica,Bom,Bom,Excelente,Não se aplica,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,"Custo do transporte, Dificuldade em liberação pela empresa",,Aumentar a capacidade dos tutoriais e sprints,
Sim,"Palestras à tarde, Palestras à noite","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira",Alta,Não se aplica,Alta,Não se aplica,Não se aplica,Não se aplica,Bom,Bom,Não se aplica,Não se aplica,Muito alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Acessibilidade do evento",,,Gostaria de ver mais temas relacionados as geotecnologias (Geopython)
Sim,Palestras à noite,"Segunda-feira, Quarta-feira, Quinta-feira, Sexta-feira",Muito alta,Não se aplica,Muito alta,Não se aplica,Não se aplica,Não se aplica,Excelente,Bom,Não se aplica,Não se aplica,Muito alta,Média,Horários das atividades incompatíveis com agenda,Dificuldade em liberação pela empresa,Por conta de trabalhar presencial e as atividades que desempenho não poder me ausentar por muito tempo.,,
Não,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes","Segunda-feira, Terça-feira, Quarta-feira",Muito alta,Muito alta,Muito alta,Muito alta,Não se aplica,Não se aplica,Excelente,Excelente,Excelente,Não se aplica,Muito alta,Muito baixa,,"Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia, Acessibilidade do evento",,,
Sim,Palestras à noite,Sexta-feira,Alta,Média,Alta,Média,Média,Média,Bom,Bom,Bom,Bom,Alta,Alta,Horários das atividades incompatíveis com agenda,"Insegurança relacionada a pandemia COVID-19, Custo do ingresso",Para ser presencial depende muito de como a pandemia estará controlada até lá.,"Como não consegui ver muitas palestras, eu acredito que no geral, foi bom. Apenas com relação aos tutoriais (com a confusão que deu) não consegui me inscrever no que eu queria, então acho que nessa parte poderia ser mais organizado.",Não.
Sim,Palestras à noite,"Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Alta,Alta,Alta,Alta,Alta,Excelente,Excelente,Excelente,Excelente,Muito alta,Muito alta,Horários das atividades incompatíveis com agenda,Não ter ninguém com quem deixar os filhos,problemas em deixar filho com alguém,,
Sim,"Rodas de conversa, Palestras à tarde, Palestras à noite, Keynotes, Tutoriais, Sprints","Segunda-feira, Terça-feira, Quarta-feira, Quinta-feira, Sexta-feira, Sábado, Domingo",Alta,Média,Média,Média,Alta,Média,Bom,Indiferente,Bom,Bom,Muito alta,Alta,"Horários das atividades incompatíveis com agenda, Conectividade, Ferramentas utilizadas no evento","Insegurança relacionada a pandemia COVID-19, Custo do transporte, Custo da estadia",,,
